Question,Option1,Option2,Option3,Option4,Answer
"b'1.  Determine the maximum length of the cable (in km) for transmitting data at a rate of 500 Mbps in an Ethernet LAN with frames of size 10,000 bits. Assume the signal speed in the cable to be 2,00,000 km/s.\n'",b'a.1',b'b.2',b'c.2.5',b'd.5',b'\nAnswer: (b).2\n'
b'2.  Let G(x) be the generator polynomial used for CRC checking. What is the condition that should be satisfied by G(x) to detect odd number of bits in error?\n',b'a.G(x) contains more than two terms',"b'b.G(x) does not divide 1+x^k, for any k not exceeding the frame length'",b'c.1+x is a factor of G(x)',b'd.G(x) has an odd number of terms',b'\nAnswer: (c).1+x is a factor of G(x)\n'
b'3.  Frames of 1000 bits are sent over a 10^6 bps duplex link between two hosts. The propagation time is 25ms. Frames are to be transmitted into this link to maximally pack them in transit (within the link). What is the minimum number of bits (i) that will be required to represent the sequence numbers distinctly? Assume that no time gap needs to be given between transmission of two frames.\n',b'a.i = 2',b'b.i = 3',b'c.i = 4',b'd.i = 5',b'\nAnswer: (d).i = 5\n'
"b'4.  In Ethernet when Manchester encoding is used, the bit rate is:\n'",b'a.Half the baud rate',b'b.Twice the baud rate',b'c.Same as the baud rate',b'd.None of the above',b'\nAnswer: (a).Half the baud rate\n'
b'5.  There are n stations in a slotted LAN. Each station attempts to transmit with a probability p in each time slot. What is the probability that ONLY one station transmits in a given time slot?\n',b'a.(1-p)^(n-1)',b'b.np(1-p)^(n-1)',b'c.p(1-p)^(n-1)',b'd.1-(1-p)^(n-1)',b'\nAnswer: (b).np(1-p)^(n-1)\n'
b'6.  In a token ring network the transmission speed is 10^7 bps and the propagation speed is 200 metres/micro second. The 1-bit delay in this network is equivalent to:\n',b'a.500 metres of cable',b'b.200 metres of cable',b'c.20 metres of cable',b'd.50 metres of cable',b'\nAnswer: (c).20 metres of cable\n'
b'7.  The message 11001001 is to be transmitted using the CRC polynomial x^3 + 1 to protect it from errors. The message that should be transmitted is:\n',b'a.11001001000',b'b.11001001011',b'c.11001010',b'd.110010010011',b'\nAnswer: (b).11001001011\n'
"b'8.  Consider a token ring network with a length of 2 km having 10 stations including a monitoring station. The propagation speed of the signal is 2 \xc3\x97 10^8 m/s and the token transmission time is ignored. If each station is allowed to hold the token for 2 \xce\xbcsec, the minimum time for which the monitoring station should wait (in \xce\xbcsec)before assuming that the token is lost is _______.\n'",b'a.28 to 30',b'b.20 to 22',b'c.0 to 2',b'd.31 to 33',b'\nAnswer: (a).28 to 30\n'
"b'9.  Consider a selective repeat sliding window protocol that uses a frame size of 1 KB to send data on a 1.5 Mbps link with a one-way latency of 50 msec. To achieve a link utilization of 60%, the minimum number of bits required to represent the sequence number field is ________.\n'",b'a.3',b'b.4',b'c.5',b'd.6',b'\nAnswer: (c).5\n'
"b'10.  A bit-stuffing based framing protocol uses an 8-bit delimiter pattern of 01111110. If the output bit-string after stuffing is 01111100101, then the input bit-string is\n'",b'a.0111110100',b'b.0111110101',b'c.0111111101',b'd.0111111111',b'\nAnswer: (b).0111110101\n'
b'11.  Station A uses 32 byte packets to transmit messages to Station B using a sliding window protocol. The round trip delay between A and B is 80 milliseconds and the bottleneck bandwidth on the path between A and B is 128 kbps. What is the optimal window size that A should use?\n',b'a.20',b'b.40',b'c.160',b'd.320',b'\nAnswer: (b).40\n'
b'12.  Suppose the round trip propagation delay for a 10 Mbps Ethernet having 48-bit jamming signal is 46.4 ms. The minimum frame size is\n',b'a.94',b'b.416',b'c.464',b'd.512',b'\nAnswer: (c).464\n'
"b'13.  How many 8-bit characters can be transmitted per second over a 9600 baud serial communication link using asynchronous mode of transmission with one start bit, eight data bits, two stop bits, and one parity bit ?\n'",b'a.600',b'b.800',b'c.876',b'd.1200',b'\nAnswer: (b).800\n'
"b'14.  A and B are the only two stations on an Ethernet. Each has a steady queue of frames to send. Both A and B attempt to transmit a frame, collide, and A wins the first backoff race. At the end of this successful transmission by A, both A and B attempt to transmit and collide. The probability that A wins the second backoff race is:\n'",b'a.0.5',b'b.0.625',b'c.0.75',b'd.1.0',b'\nAnswer: (b).0.625\n'
b'15.  A 2 km long broadcast LAN has 10^7 bps bandwidth and uses CSMA/CD. The signal travels along the wire at 2 \xc3\x97 108 m/s. What is the minimum packet size that can be used on this network?\n',b'a.50 bytes',b'b.100 bytes',b'c.200 bytes',b'd.None of these',b'\nAnswer: (d).None of these\n'
b'16.  Host A is sending data to host B over a full duplex link. A and B are using the sliding window protocol for flow control. The send and receive window sizes are 5 packets each. Data packets (sent only from A to B) are all 1000 bytes long and the transmission time for such a packet is 50 \xc2\xb5s. Acknowledgement packets (sent only from B to A) are very small and require negligible transmission time. The propagation delay over the link is 200 us. What is the maximum achievable throughput in this communication?\n',b'a.7.69 \xc3\x97 10^6 bytes per second',b'b.11.11 \xc3\x97 10^6 bytes per second',b'c.12.33 \xc3\x97 10^6 bytes per second',b'd.15.00 \xc3\x97 10^6 bytes per second',b'\nAnswer: (b).11.11 \xc3\x97 10^6 bytes per second\n'
"b'17.  In serial data transmission, every byte of data is padded with a \xe2\x80\x980\xe2\x80\x99 in the beginning and one or two \xe2\x80\x98I\xe2\x80\x99 s at the end of byte because\n'",b'a.Receiver is to be synchronized for byte reception',b'b.Receiver recovers lost \xe2\x80\x980\xe2\x80\x99 and \xe2\x80\x981\xe2\x80\x99s from these padded bits',b'c.Padded bits are useful in parity computation',b'd.None of these',b'\nAnswer: (a).Receiver is to be synchronized for byte reception\n'
"b'18.  Consider a LAN with four nodes S1, S2, S3 and S4. Time is divided into fixed-size slots, and a node can begin its transmission only at the beginning of a slot. A collision is said to have occurred if more than one node transmit in the same slot. The probabilities of generation of a frame in a time slot by S1, S2, S3 and S4 are 0.1, 0.2, 0.3 and 0.4, respectively. The probability of sending a frame in the first slot without any collision by any of these four stations is _________.\n'",b'a.0.462',b'b.0.711',b'c.0.5',b'd.0.652',b'\nAnswer: (a).0.462\n'
b'19.  Suppose that the stop-and-wait protocol is used on a link with a bit rate of 64 kilobits per second and 20 milliseconds propagation delay. Assume that the transmission time for the acknowledgment and the processing time at nodes are negligible. Then the minimum frame size in bytes to achieve a link utilization of at least 50% is _________.\n',b'a.160',b'b.320',b'c.640',b'd.220',b'\nAnswer: (b).320\n'
"b'20.  Consider a CSMA/CD network that transmits data at a rate of 100 Mbps (108 bits per second) over a 1 km (kilometer) cable with no repeaters. If the minimum frame size required for this network is 1250 bytes, what is the signal speed (km/sec) in the cable?\n'",b'a.8000',b'b.10000',b'c.16000',b'd.20000',b'\nAnswer: (d).20000\n'
b'21.  Which one of the following statements is FALSE ?\n',b'a.Packet switching leads to better utilization of bandwidth resources than circuit switching',b'b.Packet switching results in less variation in delay than circuit switching',b'c.Packet switching requires more per packet processing than circuit switching',b'd.Packet switching can lead to reordering unlike in circuit switching',b'\nAnswer: (b).Packet switching results in less variation in delay than circuit switching\n'
b'22.  Which of the following statements is TRUE about CSMA/CD ?\n',b'a.IEEE 802.11 wireless LAN runs CSMA/CD protocol',b'b.Ethernet is not based on CSMA/CD protocol',b'c.CSMA/CD is not suitable for a high propagation delay network like satellite network',b'd.There is no contention in a CSMA/CD network',b'\nAnswer: (c).CSMA/CD is not suitable for a high propagation delay network like satellite network\n'
b'23.  Which of the following statements is FALSE regarding a bridge?\n',b'a.Bridge is a layer 2 device',b'b.Bridge reduces collision domain',b'c.Bridge is used to connect two or more LAN segments',b'd.Bridge reduces broadcast domain',b'\nAnswer: (d).Bridge reduces broadcast domain\n'
b'24.  A network with CSMA/CD protocol in the MAC layer is running at 1 Gbps over a 1 km cable with no repeaters. The signal speed in the cable is 2 x 108 m/sec. The minimum frame size for this network should be\n',b'a.10000 bits',b'b.10000 bytes',b'c.5000 bits',b'd.5000 bytes',b'\nAnswer: (a).10000 bits\n'
"b'25.  A channel has a bit rate of 4 kbps and one-way propagation delay of 20 ms. The channel uses stop and wait protocol. The transmission time of the acknowledgement frame is negligible. To get a channel efficiency of at least 50%, the minimum frame size should be\n'",b'a.80 bytes',b'b.80 bits',b'c.160 bytes',b'd.160 bits',b'\nAnswer: (d).160 bits\n'
"b'26.  In a TDM medium access control bus LAN, each station is assigned one time slot per cycle for transmission. Assume that the length of each time slot is the time to transmit 100 bits plus the end-to-end propagation delay. Assume a propagation speed of 2 x 10^8 m/sec. The length of the LAN is 1 km with a bandwidth of 10 Mbps. The maximum number of stations that can be allowed in the LAN so that the throughput of each station can be 2/3 Mbps is\n'",b'a.3',b'b.5',b'c.10',b'd.20',b'\nAnswer: (c).10\n'
b'27.  Consider the following message M = 1010001101. The cyclic redundancy check (CRC) for this message using the divisor polynomial x^5 + x^4 + x^2 + 1 is :\n',b'a.01110',b'b.01011',b'c.10101',b'd.10110',b'\nAnswer: (a).01110\n'
"b'28.  A sender uses the Stop-and-Wait ARQ protocol for reliable transmission of frames. Frames are of size 1000 bytes and the transmission rate at the sender is 80 Kbps (1Kbps = 1000 bits/second). Size of an acknowledgement is 100 bytes and the transmission rate at the receiver is 8 Kbps. The one-way propagation delay is 100 milliseconds. Assuming no frame is lost, the sender throughput is __________ bytes/second.\n'",b'a.2500',b'b.2000',b'c.1500',b'd.500',b'\nAnswer: (a).2500\n'
"b'29.  In an Ethernet local area network, which one of the following statements is TRUE ?\n'",b'a.A station stops to sense the channel once it starts transmitting a frame',b'b.The purpose of the jamming signal is to pad the frames that are smaller than the minimum frame size',b'c.A station continues to transmit the packet even after the collision is detected',b'd.The exponential backoff mechanism reduces the probability of collision on retransmissions',b'\nAnswer: (d).The exponential backoff mechanism reduces the probability of collision on retransmissions\n'
b'30.  A network has a data transmission bandwidth of 20 \xc3\x97 10 6 bits per second. It uses CSMA/CD in the MAC layer. The maximum signal propagation time from one node to another node is 40 microseconds. The minimum size of a frame in the network is _________ bytes.\n',b'a.200',b'b.250',b'c.400',b'd.1200',b'\nAnswer: (a).200\n'
b'31.  Consider a 128\xc3\x9710 3 bits/second satellite communication link with one way propagation delay of 150 milliseconds. Selective retransmission (repeat) protocol is used on this link to send data with a frame size of 1 kilobyte. Neglect the transmission time of acknowledgement. The minimum number of bits required for the sequence number field to achieve 100% utilization is ___________\n',b'a.2',b'b.4',b'c.6',b'd.8',b'\nAnswer: (b).4\n'
b'32.  How many bytes of data can be sent in 15 seconds over a serial link with baud rate of 9600 in asynchronous mode with odd parity and two stop bits in the frame?\n',"b'a.10,000 bytes'","b'b.12,000 bytes'","b'c.15,000 bytes'","b'd.27,000 bytes'","b'\nAnswer: (b).12,000 bytes\n'"
"b'33.  A 1Mbps satellite link connects two ground stations. The altitude of the satellite is 36,504 km and speed of the signal is 3 \xc3\x97 10^8 m/s. What should be the packet size for a channel utilization of 25% for a satellite link using go-back-127 sliding window protocol? Assume that the acknowledgment packets are negligible in size and that there are no errors during communication.\n'",b'a.120 bytes',b'b.60 bytes',b'c.240 bytes',b'd.90 bytes',b'\nAnswer: (a).120 bytes\n'
b'34.  The minimum frame size required for a CSMA/CD based computer network running at 1 Gbps on a 200m cable with a link speed of 2 \xc3\x97 10^8m/s is\n',b'a.125 bytes',b'b.250 bytes',b'c.500 bytes',b'd.None of these',b'\nAnswer: (b).250 bytes\n'
"b'35.  In an IPv4 datagram, the M bit is 0, the value of HLEN is 10, the value of total length is 400 and the fragment offset value is 300. The position of the datagram, the sequence numbers of the first and the last bytes of the payload, respectively are\n'","b'a.Last fragment, 2400 and 2789'","b'b.First fragment, 2400 and 2759'","b'c.Last fragment, 2400 and 2759'","b'd.Middle fragment, 300 and 689'","b'\nAnswer: (c).Last fragment, 2400 and 2759\n'"
"b'36.  Consider a source computer(S) transmitting a file of size 106\xc2\xa0bits to a destination computer(D)over a network of two routers (R1\xc2\xa0and R2) and three links(L1, L2, and L3). L1connects S to R1; L2\xc2\xa0connects R1\xc2\xa0to R2; and L3\xc2\xa0connects R2\xc2\xa0to D.Let each link be of length 100 km. Assume signals travel over each link at a speed of 108\xc2\xa0meters per second.Assume that the link bandwidth on each link is 1Mbps. Let the file be broken down into 1000 packets each of size 1000 bits. Find the total sum of transmission and propagation delays in transmitting the file from S to D?\n'",b'a.1005 ms',b'b.1010 ms',b'c.3000 ms',b'd.3003 ms',b'\nAnswer: (a).1005 ms\n'
b'37.  One of the header fields in an IP datagram is the Time to Live(TTL)field.Which of the following statements best explains the need for this field?\n',b'a.It can be used to prioritize packets',b'b.It can be used to reduce delays',b'c.It can be used to optimize throughput',b'd.It can be used to prevent packet looping',b'\nAnswer: (d).It can be used to prevent packet looping\n'
b'38.  For which one of the following reasons does Internet Protocol (IP) use the time-to- live (TTL) field in the IP datagram header\n',b'a.Ensure packets reach destination within that time',b'b.Discard packets that reach later than that time',b'c.Prevent packets from looping indefinitely',b'd.Limit the time for which a packet gets queued in intermediate routers',b'\nAnswer: (c).Prevent packets from looping indefinitely\n'
"b'39.  Consider the following three statements about link state and distance vector routing protocols, for a large network with 500 network nodes and 4000 links.\r [S1] The computational overhead in link state protocols \r     is higher than in distance vector protocols.\r[S2] A distance vector protocol (with split horizon) \r     avoids persistent routing loops, but not a link\r     state protocol.\r[S3] After a topology change, a link state protocol \r     will converge faster than a distance vector\r     protocol.\r Which one of the following is correct about S1, S2, and S3 ?\n'","b'a.S1, S2, and S3 are all true'","b'b.S1, S2, and S3 are all false'","b'c.S1 and S2 are true, but S3 is false'","b'd.S1 and S3 are true, but S2 is false'","b'\nAnswer: (d).S1 and S3 are true, but S2 is false\n'"
b'40.  Which one of the following is TRUE about  interior Gateway routing protocols - Routing Information Protocol (RIP) and Open Shortest Path First (OSPF)?\n',b'a.RIP uses distance vector routing and OSPF uses link state routing',b'b.OSPF uses distance vector routing and RIP uses link state routing',b'c.Both RIP and OSPF use link state routing',b'd.Both RIP and OSPF use distance vector routing',b'\nAnswer: (a).RIP uses distance vector routing and OSPF uses link state routing\n'
"b'41.  An IP machine Q has a path to another IP machine H via three IP routers R1, R2, and R3.\r Q\xe2\x80\x94R1\xe2\x80\x94R2\xe2\x80\x94R3\xe2\x80\x94H \r H acts as an HTTP server, and Q connects to H via HTTP and downloads a file. Session layer encryption is used, with DES as the shared key encryption protocol. Consider the following four pieces of information:\r [I1] The URL of the file downloaded by Q\r[I2] The TCP port numbers at Q and H\r[I3] The IP addresses of Q and H\r[I4] The link layer addresses of Q and H \r Which of I1, I2, I3, and I4 can an intruder learn through sniffing at R2 alone?\n'",b'a.Only I1 and I2',b'b.Only I1',b'c.Only I2 and I3',b'd.Only I3 and I4',b'\nAnswer: (c).Only I2 and I3\n'
"b'42.  Host A (on TCP/IP v4 network A) sends an IP datagram D to host B (also on TCP/IP v4 network B). Assume that no error occurred during the transmission of D. When D reaches B, which of the following IP header field(s) may be different from that of the original datagram D?\r (i) TTL \r(ii) Checksum \r(iii) Fragment Offset\n'",b'a.(i) only',b'b.(i) and (ii) only',b'c.(ii) and (iii) only',"b'd.(i), (ii) and (iii)'","b'\nAnswer: (d).(i), (ii) and (iii)\n'"
b'43.  Classless Inter-domain Routing (CIDR) receives a packet with address 131.23.151.76. The router\xe2\x80\x99s routing table has the following entries:\r Prefix           Output Interface Identifier\r131.16.0.0/12              3\r131.28.0.0/14              5\r131.19.0.0/16              2\r131.22.0.0/15              1\r The identifier of the output interface on which this packet will be forwarded is ______.\n',b'a.1',b'b.2',b'c.3',b'd.5',b'\nAnswer: (a).1\n'
b'44.  Every host in an IPv4 network has a 1-second resolution real-time clock with battery backup. Each host needs to generate up to 1000 unique identifiers per second. Assume that each host has a globally unique IPv4 address. Design a 50-bit globally unique ID for this purpose. After what period (in seconds) will the identifiers generated by a host wrap around?\n',b'a.128',b'b.64',b'c.256',b'd.512',b'\nAnswer: (c).256\n'
b'45.  An IP router with a Maximum Transmission Unit (MTU) of 1500 bytes has received an IP packet of size 4404 bytes with an IP header of length 20 bytes. The values of the relevant fields in the header of the third IP fragment generated by the router for this packet are\n',"b'a.MF bit: 0, Datagram Length: 1444; Offset: 370'","b'b.MF bit: 1, Datagram Length: 1424; Offset: 185'","b'c.MF bit: 1, Datagram Length: 1500; Offset: 37'","b'd.MF bit: 0, Datagram Length: 1424; Offset: 2960'","b'\nAnswer: (a).MF bit: 0, Datagram Length: 1444; Offset: 370\n'"
b'46.  Two computers C1 and C2 are configured as follows. C1 has IP address 203.197.2.53 and netmask 255.255.128.0. C2 has IP address 203.197.75.201 and netmask 255.255.192.0. which one of the following statements is true?\n',b'a.C1 and C2 both assume they are on the same network',"b'b.C2 assumes C1 is on same network, but C1 assumes C2 is on a different network'","b'c.C1 assumes C2 is on same network, but C2 assumes C1 is on a different network'",b'd.C1 and C2 both assume they are on different networks',"b'\nAnswer: (c).C1 assumes C2 is on same network, but C2 assumes C1 is on a different network\n'"
"b'47.  Station A needs to send a message consisting of 9 packets to Station B using a sliding window (window size 3) and go-back-n error control strategy. All packets are ready and immediately available for transmission. If every 5th packet that A transmits gets lost (but no acks from B ever get lost), then what is the number of packets that A will transmit for sending the message to B?\n'",b'a.12',b'b.14',b'c.16',b'd.18',b'\nAnswer: (c).16\n'
b'48.  The address resolution protocol (ARP) is used for\n',b'a.Finding the IP address from the DNS',b'b.Finding the IP address of the default gateway',b'c.Finding the IP address that corresponds to a MAC address',b'd.Finding the MAC address that corresponds to an IP address',b'\nAnswer: (d).Finding the MAC address that corresponds to an IP address\n'
"b'49.  In a packet switching network, packets are routed from source to destination along a single path having two intermediate nodes. If the message size is 24 bytes and each packet contains a header of 3 bytes, then the optimum packet size is:\n'",b'a.4',b'b.6',b'c.7',b'd.9',b'\nAnswer: (d).9\n'
